CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR
TQRMNOQQWHJOKNCDEGKDB00862929;2024;3;1;1;43;N;14;173;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1750000;9;9;9;;9;9;875000;9;9;9;;10;10;350;1;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOQWSHLNKMCDEGKDB00805050;2024;3;1;1;43;N;14;117;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;3;98;0;0;0;Nuclear;Material durable;Alto
TQRMNOQXRHLNKMCDEGKDB00805039;2024;3;1;1;43;N;14;101;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;2;1;1;2;2;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;2;6;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;4;98;0;0;0;Extendido;Material durable;Alto
TQRMNOQQQHJOLNCDEOJAH00863001;2024;3;1;1;44;N;93;71;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;700000;4;4;3;;5;3;233333,33;3;4;2;;4;2;94;1;0;2;3;0;0;Nuclear;Material durable;Alto
TQRMNOPYTHJKKMCDEHJGH00863628;2024;3;1;1;40;S;23;433;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;3;1;1;2;2;2;0;0;0;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;4600000;10;10;10;10;;10;1533333,33;10;10;10;10;;10;445;96;0;98;0;0;0;Nuclear;Material durable;Alto
TQRMNOSYYHJKKMCDEHJGH00862722;2024;3;1;1;40;S;23;342;1;;4;1;;3;1;1;1;;1;1;1;1;1;2;2;4;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;0;2;1800000;9;9;9;9;;9;900000;9;10;10;9;;10;351;1;0;2;0;0;0;Nuclear;Material durable;Medio
TQRMNOQXRHLKKMCDEHJGH00805932;2024;3;1;1;40;S;23;349;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;96;0;98;0;0;0;Nuclear;Material durable;Alto
TQRMNORYWHMMKMCDEHJGH00810990;2024;3;1;1;40;S;23;359;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;480000;2;3;3;2;;3;240000;3;4;5;3;;5;378;1;2;98;0;0;0;Nuclear;Material durable;Medio
TQRMNOUPVHLOKTCDEIJAH00807131;2024;3;1;1;1;S;33;191;1;;2;1;;2;2;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;Nuclear;Material durable;Alto
TQRMNOSXWHLMKUCDEIJAH00807132;2024;3;1;1;1;S;33;208;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;1;1;4;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;752000;4;;4;4;;4;250666,67;4;;3;4;;4;442;2;0;98;0;0;0;Nuclear;Material durable;Alto
TQRMNORUYHJLLRCDEIJAH00867656;2024;3;1;1;1;S;33;738;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio
TQRMNORVWHJLLRCDEIJAH00867657;2024;3;1;1;1;S;33;766;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;5;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;13000000;10;;10;10;;10;2600000;10;;10;10;;10;1553;1;2;97;0;0;0;Extendido;Material durable;Alto
TQRMNOPTWHJKLSCDEIJAH00867658;2024;3;1;1;1;S;33;967;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;0;1;610000;3;;3;3;;3;610000;8;;8;8;;9;1095;1;0;98;0;0;0;Unipersonal;Material durable;Medio
