CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNOQVRHLNLPCDEIGED00859422,2024,1,1,1,43,N,30,92,1,,2,1,,5,1,1,1,,1,1,1,1,1,2,2,2,1,2,0,1,2,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,1,205000,2,2,2,,2,1,205000,6,6,5,,6,4,118,1,0,98,0,0,0,Unipersonal,Material precario,Bajo,buena
TQRMNOQQVHMMLPCDEIGED00801380,2024,1,1,1,43,N,30,168,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,2,380000,4,4,4,,4,4,190000,5,6,5,,6,4,266,1,2,98,0,0,0,Nuclear,Material durable,Alto,buena
TQRMNOPRXHMMKNCDEHLEH00800825,2024,1,1,1,40,N,25,100,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,2,1,2,2,0,2,0,1,,1,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,0,2,0,12,12,12,,12,12,0,12,12,12,,12,12,0,97,0,96,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNORTVHKMKOCDEHLEH00859423,2024,1,1,1,40,N,25,139,1,,6,1,,1,1,1,1,,1,1,1,1,2,2,2,6,3,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,0,4,0,12,12,12,,12,12,0,12,12,12,,12,12,0,2,0,1,3,4,0,Nuclear,Material durable,Bajo,buena
TQRMNOQWVHJLLMCDEGKDB00793305,2024,1,1,1,43,N,14,128,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,1,,1,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,2,3,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNORPRHLMLLCDEGKDB00853108,2024,1,1,1,43,N,14,136,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,270000,3,3,3,,3,3,270000,7,7,7,,8,8,175,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
TQRMNOTUWHLMLLCDEGKDB00859424,2024,1,1,1,43,N,14,145,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,687500,7,8,7,,8,8,343750,8,8,8,,8,9,212,2,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOPTQHMLLNCDEGKDB00799856,2024,1,1,1,43,N,14,126,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,2,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,500000,6,6,6,,6,6,125000,3,3,3,,4,4,202,2,4,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOSXPHKOKTCDEFMDB00859425,2024,1,1,1,43,N,6,153,1,,3,1,,3,2,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,755000,8,8,8,,8,8,377500,8,9,8,,9,8,231,1,2,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOTQSHJMKUCDEFMDB00852153,2024,1,1,1,43,N,6,160,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,1,0,12,12,12,,12,12,0,12,12,12,,12,12,0,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,buena
