CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNOQWPHJOKQCDEGJBF00789004,2023,3,1,1,43,S,13,609,1.0,,2.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,160000,3,3.0,3,3.0,,3,80000,4,4.0,4,4.0,,4,629,1,0,2,0,0,0,Nuclear,Material durable,Medio,saludables
TQRMNORXVHLNKTCDEIIAD00806856,2023,3,1,1,1,S,32,2515,2.0,,5.0,1.0,,9.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,0,4,0,12,,12,12.0,,12,0,12,,12,12.0,,12,0,2,0,98,0,0,0,Nuclear,No aplica,Bajo,buena
TQRMNOQUQHJMKTCDEFOCD00782680,2023,3,1,1,41,N,8,427,2.0,,2.0,1.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,60000,1,1.0,1,,1.0,1,30000,1,1.0,1,,1.0,2,513,1,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNORXQHJMKTCDEFOCD00782666,2023,3,1,1,41,N,8,375,1.0,,4.0,1.0,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,0,5,0,12,12.0,12,,12.0,12,0,12,12.0,12,,12.0,12,0,2,0,98,0,0,0,Extendido,Material durable,Alto,buena
TQRMNOSRXHJOKUCDEFOCD00788282,2023,3,1,1,41,N,8,355,1.0,,2.0,1.0,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,0,1,255000,5,5.0,6,,5.0,8,255000,9,9.0,10,,9.0,10,393,1,0,98,0,0,0,Unipersonal,Material durable,Bajo,saludables
TQRMNOPWQHKMLMCDEFOCD00788369,2023,3,1,1,41,N,8,473,1.0,,8.0,1.0,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,0,12,12.0,12,,12.0,12,0,12,12.0,12,,12.0,12,0,2,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOPRTHMOLMCDEIMBF00813098,2023,3,1,1,43,N,36,124,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOQWRHMOLMCDEIMBF00813099,2023,3,1,1,43,N,36,132,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,230000,4,5.0,5,,5.0,5,"76666,67",4,4.0,3,,4.0,4,201,1,0,2,3,0,0,Nuclear,Material durable,Alto,buena
TQRMNOURTHJMLLCDEIMBF00786743,2023,3,1,1,43,N,36,159,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,200000,4,4.0,4,,4.0,5,200000,8,9.0,8,,9.0,8,152,97,0,98,0,0,0,Unipersonal,Material durable,Medio,buena
TQRMNOTPRHJLLMCDEIMBF00786729,2023,3,1,1,43,N,36,364,2.0,,1.0,1.0,,9.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,,1.0,,1.0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,140000,2,2.0,2,,2.0,3,70000,3,3.0,3,,4.0,3,381,97,0,98,0,0,0,Nuclear,No aplica,Alto,buena
