"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOSUTHKNKMCDEIOAH00792702";2023;3;1;1;43;"N";38;84;1;"";2;2;"";4;2;1;1;"";1;1;1;3;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;1;98;0;0;0
"TQRMNOQUWHKKKNCDEIHJF00791110";2023;3;1;1;44;"N";31;105;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;320000;"6";"7";"5";"";"7";"4";160000;"7";"8";"6";"";"8";"5";111;1;0;98;0;0;0
"TQRMNOPXVHLLKPCDEIOAH00808266";2023;3;1;1;43;"N";38;170;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;400000;"7";"8";"8";"";"8";"8";200000;"8";"9";"8";"";"9";"8";263;2;0;1;0;0;0
"TQRMNOSYUHKLKQCDEIOAH00792841";2023;3;1;1;43;"N";38;122;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;90000;"1";"1";"1";"";"1";"2";90000;"4";"5";"4";"";"5";"5";153;1;0;98;0;0;0
"TQRMNORRVHLMKQCDEIOAH00808267";2023;3;1;1;43;"N";38;96;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;150000;"2";"3";"3";"";"3";"3";150000;"7";"7";"7";"";"7";"7";82;96;0;98;0;0;0
"TQRMNOQQYHJMKRCDEIOAH00786887";2023;3;1;1;43;"N";38;148;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;4;0;4;210000;"4";"4";"4";"";"4";"4";52500;"2";"2";"2";"";"3";"2";285;2;0;3;4;0;0
"TQRMNOSPQHKMKRCDEIOAH00792760";2023;3;1;1;43;"N";38;86;2;"";2;2;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200000;"4";"4";"4";"";"4";"4";200000;"8";"9";"8";"";"9";"9";81;1;0;98;0;0;0
"TQRMNOSUPHMMKRCDEIOAH00813189";2023;3;1;1;43;"N";38;144;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;420000;"8";"8";"8";"";"8";"9";140000;"7";"7";"6";"";"7";"7";245;1;0;98;0;0;0
"TQRMNOPRXHKOKSCDEIOAH00792843";2023;3;1;1;43;"N";38;159;1;"";6;1;"";1;1;1;1;"";1;1;1;1;2;2;2;6;2;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;2;2;375000;"7";"7";"7";"";"7";"8";93750;"5";"5";"4";"";"5";"5";177;2;0;98;0;0;0
"TQRMNOSXYHKOKSCDEIOAH00792823";2023;3;1;1;43;"N";38;150;1;"";2;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;4;2;2;142000;"2";"3";"3";"";"3";"2";35500;"1";"1";"1";"";"1";"1";156;1;0;98;0;0;0
"TQRMNOSWUHJLLLCDEIOAH00787006";2023;3;1;1;43;"N";38;99;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;138100;"2";"2";"2";"";"2";"2";34525;"1";"1";"1";"";"1";"1";109;1;0;98;0;0;0
"TQRMNOQYUHKNKUCDEIOAH00813190";2023;3;1;1;43;"N";38;78;1;"";1;1;"";5;2;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200000;"4";"4";"4";"";"4";"4";200000;"8";"9";"8";"";"9";"8";72;1;0;98;0;0;0
"TQRMNOPXTHMLLLCDEIOAH00813191";2023;3;1;1;43;"N";38;88;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200000;"4";"4";"4";"";"4";"4";200000;"8";"8";"8";"";"9";"8";76;1;0;97;0;0;0
"TQRMNOSRQHMLLLCDEIOAH00813192";2023;3;1;1;43;"N";38;237;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;88000;"1";"1";"1";"";"1";"2";88000;"4";"5";"4";"";"5";"5";223;1;0;98;0;0;0
"TQRMNOPQUHKMLMCDEIOAH00813193";2023;3;1;1;43;"N";38;82;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;220000;"4";"5";"5";"";"5";"5";110000;"5";"6";"5";"";"6";"6";84;1;0;98;0;0;0
"TQRMNOTVYHMMLMCDEHIBB00810847";2023;3;1;1;40;"N";22;125;2;"";2;1;"";2;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;227000;"4";"5";"5";"";"5";"5";75666,67;"4";"4";"5";"";"4";"5";140;2;0;1;0;0;0
"TQRMNOVPSHLMLNCDEHIBB00805843";2023;3;1;1;40;"N";22;98;1;"";2;1;"";2;1;1;1;"";1;1;1;1;1;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;4;0;4;193500;"3";"4";"4";"";"4";"4";48375;"2";"2";"3";"";"2";"2";114;2;0;1;0;0;0
"TQRMNOQSQHMOKOCDEFOCD00809477";2023;3;1;1;41;"N";8;313;1;"";3;1;"";2;2;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;261000;"5";"6";"7";"";"6";"8";130500;"6";"7";"8";"";"7";"10";325;2;0;1;0;0;0
"TQRMNOSRSHMKKPCDEFOCD00809478";2023;3;1;1;41;"N";8;865;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;235000;"5";"5";"6";"";"5";"8";117500;"6";"6";"7";"";"6";"9";1158;1;2;98;0;0;0
"TQRMNORWRHJMKRCDEFOCD00782805";2023;3;1;1;41;"N";8;355;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;120000;"2";"2";"2";"";"2";"4";60000;"3";"3";"4";"";"3";"6";427;1;0;98;0;0;0
"TQRMNOPWXHLLKRCDEFOCD00804385";2023;3;1;1;41;"N";8;313;1;"";3;1;"";4;1;1;1;"";1;1;2;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;"0";"0";"0";"";"0";"0";0;"0";"0";"0";"";"0";"0";304;1;0;98;0;0;0
"TQRMNOQPVHJOKUCDEFOCD00804392";2023;3;1;1;41;"N";8;269;1;"";2;2;"";4;2;1;1;"";1;1;1;1;2;2;2;2;1;2;0;2;2;2;0;0;0;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;110000;"2";"2";"2";"";"2";"3";110000;"5";"6";"7";"";"6";"9";297;1;0;98;0;0;0
"TQRMNOQPUHLMKRCDEIMBF00808151";2023;3;1;1;43;"N";36;183;1;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;5;2;2;0;1;2;1;2;0;1;1;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;550000;"9";"9";"9";"";"9";"9";183333,33;"8";"8";"8";"";"8";"8";253;2;3;98;0;0;0
"TQRMNOTWRHJMLLCDEIMBF00786844";2023;3;1;1;43;"N";36;191;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;50000;"1";"1";"1";"";"1";"1";50000;"2";"2";"2";"";"2";"2";166;1;0;98;0;0;0
"TQRMNORXTHLLKSCDEIMBF00808152";2023;3;1;1;43;"N";36;164;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;0;1;300000;"6";"6";"6";"";"6";"7";300000;"10";"10";"10";"";"10";"9";164;1;0;98;0;0;0
"TQRMNOTQTHLMKTCDEIMBF00808131";2023;3;1;1;43;"N";36;265;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;390000;"7";"8";"8";"";"8";"8";390000;"10";"10";"10";"";"10";"10";256;96;0;98;0;0;0
"TQRMNORYWHKLKUCDEIMBF00792640";2023;3;1;1;43;"N";36;240;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;342000;"7";"7";"7";"";"7";"7";171000;"8";"8";"7";"";"8";"7";343;1;2;98;0;0;0
"TQRMNOQWVHKNLLCDEIMBF00798018";2023;3;1;1;43;"N";36;117;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;300000;"6";"6";"6";"";"6";"7";75000;"4";"4";"3";"";"4";"4";158;2;0;98;0;0;0
"TQRMNOQWYHKNLLCDEIMBF00792665";2023;3;1;1;43;"N";36;185;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;360000;"7";"7";"7";"";"7";"7";360000;"10";"10";"10";"";"10";"10";235;1;0;98;0;0;0
"TQRMNORQYHKMLPCDEFMDB00794597";2023;3;1;1;43;"N";6;201;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;98;0;0;0
"TQRMNOQUYHJNLQCDEFMDB00782430";2023;3;1;1;43;"N";6;322;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNORXWHKMKSCDEFMDB00809226";2023;3;1;1;43;"N";6;170;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;3;1;2;0;2;2;2;0;0;0;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNOTRRHKMKMCDEFMDB00798069";2023;3;2;1;43;"N";6;284;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;1;425000;"8";"8";"8";"";"8";"7";106250;"5";"6";"5";"";"6";"5";424;1;0;98;0;0;0
"TQRMNOQYYHKMLRCDEFMDB00795762";2023;3;1;1;43;"N";6;355;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;2;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;240000;"5";"5";"5";"";"5";"4";80000;"4";"4";"4";"";"4";"4";535;1;0;98;0;0;0
